model,hard_mean_similarity,hard_mean_similarity_ci_lower,hard_mean_similarity_ci_upper,random_mean_similarity,random_mean_similarity_ci_lower,random_mean_similarity_ci_upper,similarity_hard_minus_random,similarity_hard_minus_random_ci_lower,similarity_hard_minus_random_ci_upper,similarity_hard_minus_random_holm_p,hard_cited_vs_u_auc,hard_cited_vs_u_auc_ci_lower,hard_cited_vs_u_auc_ci_upper,random_cited_vs_u_auc,random_cited_vs_u_auc_ci_lower,random_cited_vs_u_auc_ci_upper,auc_random_minus_hard,auc_random_minus_hard_ci_lower,auc_random_minus_hard_ci_upper,auc_random_minus_hard_holm_p,hard_pairwise,hard_pairwise_ci_lower,hard_pairwise_ci_upper,random_pairwise,random_pairwise_ci_lower,random_pairwise_ci_upper,pairwise_random_minus_hard,pairwise_random_minus_hard_ci_lower,pairwise_random_minus_hard_ci_upper,pairwise_random_minus_hard_holm_p
tfidf,0.08551016862160468,0.08277590286611136,0.08828514445260854,0.019074279865083806,0.018268230478115162,0.0198926072065226,0.06643588875652087,0.06372215647280581,0.06924825699593823,0.0029985007496251873,0.3423298207297403,0.32732842369509185,0.358029760693702,0.7754590995738748,0.7631897518437061,0.7888011423705494,0.43312927884413455,0.4188649908440943,0.447712190379607,0.0029985007496251873,0.3313032886723508,0.3121117539585871,0.3501827040194884,0.7873325213154689,0.7716496650426309,0.8031371802679659,0.4560292326431181,0.43684454933008526,0.4767410170523751,0.0029985007496251873
bm25,23.873459851688725,23.24431178718826,24.510260348865682,6.442942651755667,6.135901075647579,6.744909702569199,17.430517199933057,16.856304287930485,18.020634290459736,0.0029985007496251873,0.3250548222587213,0.3118675989822424,0.3382098639825517,0.7476111053390543,0.7352127760512219,0.7609339709031713,0.422556283080333,0.4093928045553338,0.43644699675330634,0.0029985007496251873,0.2900121802679659,0.2729567600487211,0.30858708891595615,0.7742387332521316,0.758708891595615,0.7909873629719854,0.48422655298416567,0.4649802070645554,0.5035033495736906,0.0029985007496251873
minilm_dense,0.34656496883010385,0.34022459949071243,0.35291210204109336,0.20768588161647283,0.20265170762750143,0.21279103356677567,0.13887908721363101,0.1317343587869008,0.14622293313095702,0.0029985007496251873,0.5236538888066063,0.5071832753465676,0.5396823744860815,0.8057379893936614,0.7936265685098487,0.8178234568965799,0.282084100587055,0.2675199001007805,0.29702682055948837,0.0029985007496251873,0.5203105968331303,0.5002131546894032,0.5402557856272838,0.8129110840438489,0.7970462850182704,0.8276492082825823,0.29260048721071863,0.2728357186358099,0.313125,0.0029985007496251873
patentsberta,0.4745911085268031,0.46995711049017347,0.479371043455069,0.36811686529529514,0.363815071031306,0.3725879808138017,0.10647424323150795,0.10093686787171088,0.11197761115215348,0.0029985007496251873,0.48954840164378355,0.47346225274215603,0.5041588889640446,0.7745608692864927,0.7619890402034449,0.7869902494702354,0.28501246764270916,0.26999995897555046,0.30062041715875165,0.0029985007496251873,0.49418392204628503,0.4743902253349574,0.5130640986601706,0.7972289890377589,0.7807818209500609,0.8126065773447015,0.3030450669914738,0.2829476248477466,0.3251568209500609,0.0029985007496251873
