condition,metric,mean,standard_deviation,minimum,maximum,num_seeds
official,accuracy,0.4977093641194796,0.016468126764640642,0.4793842770753161,0.5112699285321606,3
official,macro_f1,0.4647105893851038,0.036353817797326625,0.4288636243070476,0.5015509001323883,3
official,roc_auc,0.49824606578754366,0.008276648574178785,0.4929626034226802,0.5077846571758777,3
official,average_precision,0.4988394319782503,0.013748949225406218,0.4893529107273276,0.5146071218732767,3
relaxed,accuracy,0.4954187282389591,0.0067461462833791185,0.4876305662451897,0.4994502473886751,3
relaxed,macro_f1,0.460417253604805,0.024891027888970917,0.4324895757734816,0.48026300356891727,3
relaxed,roc_auc,0.49776416203652224,0.0045375395195808195,0.49284428086480947,0.501784660802623,3
relaxed,average_precision,0.49738155257373573,0.010220487344473509,0.49028751783351343,0.5090964561383854,3
