condition,seed,test_rows,elapsed_seconds,accuracy,macro_f1,roc_auc,average_precision,f1_a,f1_x
official,13,3638,1389.5795946121216,0.5112699285321606,0.5015509001323883,0.5077846571758777,0.5146071218732767,0.4319488817891374,0.5711529184756392
official,42,3638,1391.7383852005005,0.502473886750962,0.46371724371587547,0.493990936764073,0.4925582633341467,0.31954887218045114,0.6078856152512998
official,77,3638,1389.5859484672546,0.4793842770753161,0.4288636243070476,0.4929626034226802,0.4893529107273276,0.2589984350547731,0.5987288135593221
relaxed,13,3638,1434.4585587978363,0.4876305662451897,0.4324895757734816,0.501784660802623,0.5090964561383854,0.25559105431309903,0.6093880972338642
relaxed,42,3638,1435.0562880039215,0.4994502473886751,0.48026300356891727,0.49284428086480947,0.49028751783351343,0.3804014971078598,0.5801245100299747
relaxed,77,3638,1434.439748287201,0.49917537108301263,0.4684991814720161,0.4986635444421341,0.4927606837493084,0.34081041968162085,0.5961879432624113
