split,seed_mean_auc,seed_sd_auc,seed_mean_pairwise,seed_sd_pairwise,ensemble_u_eligible_auc,ensemble_pairwise
validation,0.7258104932794375,0.0171913505640202,0.7240170424047235,0.017831651554923826,0.737896149816658,0.737067230273752
test,0.7480421752205945,0.01493400779243999,0.7499304727850616,0.01085493295311601,0.7595930267431907,0.759564958283671
