split,label_group,feature,rows,queries,mean,std,q25,median,q75,minimum,maximum
train,C,bm25_score,16912,8374,15.852536140777062,14.008836498000393,5.7632303539119345,12.619592988156132,22.068997167163282,0.0,184.36518858663868
train,C,token_jaccard,16912,8374,0.09651835012250873,0.04105872401432773,0.06766917293233082,0.09210526315789473,0.12,0.0,0.43661971830985913
train,C,claim_coverage,16912,8374,0.25057077096585356,0.10705914165239783,0.17647058823529413,0.24,0.3125,0.0,0.8125
train,C,claim_token_count,16912,8374,59.93850520340587,56.58445446919866,26.0,40.0,73.0,9.0,958.0
train,C,passage_token_count,16912,8374,108.89551797540209,97.81255172061243,54.0,88.0,139.0,1.0,3497.0
train,C,passage_claim_ratio,16912,8374,3.028806482633903,3.834589118154073,0.9601986754966887,1.972972972972973,3.8181818181818183,0.0025252525252525255,152.04347826086956
train,A,bm25_score,8450,8374,15.866044904115398,13.886441259768702,5.752492397105213,12.760331982593062,22.374305261434856,0.0,184.36518858663868
train,A,token_jaccard,8450,8374,0.09636919661440628,0.04112665063032031,0.06756756756756757,0.09183673469387756,0.12,0.0,0.3709677419354839
train,A,claim_coverage,8450,8374,0.2522811139636999,0.10802429505742506,0.17647058823529413,0.24,0.3157894736842105,0.0,0.7692307692307693
train,A,claim_token_count,8450,8374,59.94224852071006,56.59133309797452,26.0,40.0,73.0,9.0,958.0
train,A,passage_token_count,8450,8374,111.55585798816568,111.80764604520952,55.0,90.0,140.0,1.0,3497.0
train,A,passage_claim_ratio,8450,8374,3.0860536915320775,4.24219445263803,0.981219426974144,2.0256410256410255,3.8823529411764706,0.0025252525252525255,152.04347826086956
train,X,bm25_score,8462,8374,15.839046534276362,14.130808079586675,5.775382073600184,12.434383888743563,21.703779089747325,0.0,140.69652451317629
train,X,token_jaccard,8462,8374,0.09666729211535506,0.040992670107437554,0.06779661016949153,0.09230769230769231,0.12,0.0,0.43661971830985913
train,X,claim_coverage,8462,8374,0.24886285341305261,0.10606545887250413,0.17391304347826086,0.24,0.3125,0.0,0.8125
train,X,claim_token_count,8462,8374,59.93476719451666,56.580928661343535,26.0,40.0,73.0,9.0,958.0
train,X,passage_token_count,8462,8374,106.2389506026944,81.39291071350684,52.0,87.0,137.0,1.0,1453.0
