split,seed,roc_auc,pairwise_accuracy
validation,13,0.7456537893261497,0.7442632850241546
validation,42,0.7154142552046279,0.7106481481481481
validation,77,0.7163634353075348,0.717139694041868
test,13,0.7649771547976235,0.7613528009535161
test,42,0.7423906113524241,0.7486889153754469
test,77,0.7367587595117359,0.7397497020262217
